"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.0397227059957216,0.00233873834690638,16.984672974754,1.15375643718164e-64
"2","NODIABETE",-0.0690726284722208,0.00140668252002469,-49.1032109157144,0
"3","NOTEETH",0.0629153800512493,0.00211648638236617,29.7263335003893,7.30669762706035e-194
"4","MALE",0.0571557613815993,0.00109934727894667,51.9906334205534,0
"5","FEWTEETH",0.0359018360174066,0.0016727824131248,21.462346648146,4.27703038307813e-102
"6","AGE3",0.0834177540499113,0.00191837849723967,43.4834701128792,0
"7","AGE2",0.0495378863591357,0.00151220642328396,32.7586800296467,6.73398676296185e-235
"8","NODENVST",0.0169849285684438,0.0012875384992996,13.1917830633285,1.00698847533982e-39
"9","NOEXER",0.0174055637031751,0.0012436279854877,13.9957960952039,1.71497790503372e-44
"10","FRMRSMK",0.0267887520326838,0.00119873050434352,22.347601846801,1.61153654744388e-110
"11","SMOKE",0.0344789823040837,0.00179329942705671,19.2265618244651,2.52396478905513e-82
"12","INC1",0.0370641788393786,0.00214120481256945,17.3099642882371,4.30698865128425e-67
"13","AGE1",0.0193201577977099,0.00135729476338902,14.2343124860141,5.83396873428869e-46
"14","INC2",0.0237197555585834,0.00170642944827061,13.9002263367069,6.54180098424826e-44
"15","BLACK",-0.0256842678950142,0.00205253524242835,-12.5134357569555,6.45248905659841e-36
"16","OTHRACE",0.0218970582636752,0.00268241659634461,8.16318326300055,3.27713640066751e-16
"17","OBESE",0.0113212439514063,0.00139316716898412,8.12626381345291,4.44597053514819e-16
"18","LOWED",0.0206311649610291,0.00227174411459512,9.08164120619109,1.07651988676555e-19
"19","HISPANIC",-0.0210334481881959,0.00250148461528132,-8.40838598794677,4.17702883418756e-17
"20","MOSTTEETH",0.00690202459369005,0.00126868902869956,5.44028082339832,5.32433680161887e-08
"21","COLLEGE",-0.00383050731786382,0.00143312954899844,-2.67282697544043,0.00752196193478021
"22","ASIAN",-0.0215007054953856,0.00463311091017867,-4.64066280998149,3.47458608757298e-06
"23","INC3",0.0088990439196129,0.00194098417794126,4.58481012918499,4.5460549247091e-06
"24","INC4",0.00667175557664316,0.00171205170544146,3.8969357966457,9.74412623426621e-05
"25","UNDWT",0.0173197234885593,0.00455878942270141,3.79919357588929,0.000145199945297955
"26","OVWT",0.00336058985851135,0.00130128625041726,2.58251392223176,0.0098088694455985
"27","SOMECOLL",0.00266584031369535,0.00144062127378893,1.85047962444981,0.0642455597953215
