"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.039722705995989,0.00233873834690714,16.9846729748628,1.15375643504563e-64
"2","NOTEETH",0.0629153800504377,0.00211648638236658,29.7263335,7.3066977114156e-194
"3","FEWTEETH",0.0359018360174449,0.00167278241312403,21.4623466481787,4.27703038007609e-102
"4","MOSTTEETH",0.00690202459357619,0.00126868902869758,5.44028082331706,5.32433680404734e-08
"5","MALE",0.0571557613814532,0.00109934727894589,51.9906334204573,0
"6","BLACK",-0.0256842678950801,0.00205253524243063,-12.5134357569737,6.45248905511457e-36
"7","HISPANIC",-0.021033448188228,0.00250148461528274,-8.40838598795482,4.17702883390086e-17
"8","ASIAN",-0.0215007054954985,0.00463311091018753,-4.64066280999697,3.47458608731265e-06
"9","OTHRACE",0.0218970582636409,0.00268241659634312,8.1631832629923,3.27713640089163e-16
"10","AGE1",0.0193201577977537,0.00135729476338927,14.2343124860438,5.83396873181053e-46
"11","AGE2",0.049537886359168,0.00151220642328282,32.7586800296928,6.7339867528168e-235
"12","AGE3",0.0834177540501986,0.00191837849724424,43.4834701129255,0
"13","LOWED",0.0206311649610368,0.00227174411459558,9.08164120619264,1.07651988675028e-19
"14","SOMECOLL",0.00266584031368913,0.00144062127378856,1.85047962444597,0.0642455597958755
"15","COLLEGE",-0.00383050731784856,0.00143312954899858,-2.67282697542953,0.00752196193502461
"16","INC1",0.0370641788393957,0.00214120481256987,17.3099642882417,4.30698865094154e-67
"17","INC2",0.0237197555586072,0.00170642944827149,13.9002263367137,6.54180098362777e-44
"18","INC3",0.00889904391961347,0.00194098417794143,4.58481012918488,4.54605492471162e-06
"19","INC4",0.0066717555766373,0.00171205170544133,3.89693579664257,9.74412623439181e-05
"20","NODENVST",0.0169849285683914,0.00128753849929927,13.1917830632912,1.00698847583817e-39
"21","NODIABETE",-0.0690726284723789,0.00140668252002581,-49.1032109157876,0
"22","FRMRSMK",0.0267887520326825,0.00119873050434294,22.3476018468106,1.61153654709586e-110
"23","SMOKE",0.0344789823041147,0.00179329942705763,19.2265618244725,2.52396478869746e-82
"24","NOEXER",0.0174055637031568,0.00124362798548801,13.9957960951857,1.71497790547181e-44
"25","UNDWT",0.0173197234885568,0.00455878942270092,3.79919357588916,0.000145199945298032
"26","OVWT",0.00336058985850767,0.00130128625041723,2.582513922229,0.00980886944567706
"27","OBESE",0.0113212439514056,0.00139316716898386,8.12626381345391,4.44597053511144e-16
