"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.960277293999099,0.00233873834690635,410.596292342553,0
"2","NODIABETE",0.0690726284722643,0.00140668252002467,49.1032109157458,0
"3","NOTEETH",-0.0629153800508421,0.00211648638236615,-29.7263335001972,7.30669766867912e-194
"4","MALE",-0.057155761381511,0.00109934727894666,-51.9906334204737,0
"5","FEWTEETH",-0.0359018360175127,0.00167278241312478,-21.4623466482097,4.2770303772291e-102
"6","AGE3",-0.0834177540499484,0.00191837849723965,-43.483470112899,0
"7","AGE2",-0.049537886359093,0.00151220642328394,-32.7586800296188,6.73398676909398e-235
"8","NODENVST",-0.0169849285683918,0.00128753849929958,-13.1917830632882,1.00698847587768e-39
"9","NOEXER",-0.0174055637031872,0.00124362798548769,-13.9957960952138,1.71497790479431e-44
"10","FRMRSMK",-0.0267887520327134,0.0011987305043435,-22.3476018468258,1.61153654654816e-110
"11","SMOKE",-0.0344789823040847,0.00179329942705669,-19.2265618244659,2.52396478901964e-82
"12","INC1",-0.0370641788393933,0.00214120481256943,-17.3099642882442,4.30698865075497e-67
"13","AGE1",-0.0193201577976915,0.00135729476338901,-14.2343124860007,5.83396873540021e-46
"14","INC2",-0.0237197555585995,0.0017064294482706,-13.9002263367165,6.54180098337633e-44
"15","BLACK",0.0256842678950128,0.00205253524242833,12.5134357569549,6.45248905664233e-36
"16","OTHRACE",-0.0218970582636797,0.00268241659634458,-8.16318326300233,3.27713640061932e-16
"17","OBESE",-0.0113212439513842,0.0013931671689841,-8.12626381343713,4.44597053572677e-16
"18","LOWED",-0.0206311649610334,0.00227174411459509,-9.08164120619307,1.07651988674606e-19
"19","HISPANIC",0.0210334481882063,0.00250148461528129,8.40838598795101,4.17702883403649e-17
"20","MOSTTEETH",-0.00690202459371828,0.00126868902869954,-5.44028082342064,5.32433680095199e-08
"21","COLLEGE",0.00383050731782613,0.00143312954899843,2.67282697541416,0.00752196193536918
"22","ASIAN",0.0215007054953981,0.00463311091017862,4.64066280998424,3.47458608752671e-06
"23","INC3",-0.00889904391961673,0.00194098417794124,-4.58481012918701,4.5460549246651e-06
"24","INC4",-0.00667175557672754,0.00171205170544145,-3.89693579669503,9.74412623228223e-05
"25","UNDWT",-0.0173197234885255,0.00455878942270136,-3.79919357588192,0.000145199945302274
"26","OVWT",-0.00336058985848548,0.00130128625041725,-2.58251392221192,0.00980886944616262
"27","SOMECOLL",-0.00266584031369989,0.00144062127378892,-1.85047962445298,0.0642455597948652
