"","term","estimate","std.error","statistic","p.value","OR","LL","UL"
"1","NOTEETH",0.621276718587152,0.0247616825062601,25.0902465303028,6.3549857385656e-139,1.86130288551048,1.77312552181995,1.95386530111738
"2","FEWTEETH",0.491102792391464,0.0215962740099595,22.7401630561356,1.7956088118355e-114,1.63411731879973,1.5663907622425,1.70477219093034
"3","MOSTTEETH",0.20154368365292,0.0194160321508702,10.3802714214133,3.04907080746631e-25,1.22328967365717,1.1776115306973,1.27073961715557
"4","MALE",0.776168258866977,0.0150366670899385,51.6183708945937,0,2.17312942250291,2.11001781666777,2.23812872556963
"5","BLACK",-0.306156650852962,0.0285312141277374,-10.730586139176,7.31308208715662e-27,0.736271272898857,0.696228177915616,0.778617419534844
"6","HISPANIC",-0.235362564988456,0.0354308110060919,-6.64287828319787,3.07615865689573e-11,0.790284268273089,0.737265686433383,0.84711554623038
"7","ASIAN",-0.348161437183988,0.0774152627118939,-4.49732294366415,6.8814424463483e-06,0.705984894800858,0.606594135194112,0.821660881253795
"8","OTHRACE",0.253262729613193,0.0311378792258904,8.13358956709586,4.1676190463843e-16,1.28822168636295,1.21195224654497,1.36929084289149
"9","AGE1",0.39747853896419,0.0216338393589884,18.3730003892742,2.16126998397619e-75,1.48806785814654,1.42628935310009,1.55252224637017
"10","AGE2",0.805484964135633,0.022274330513843,36.162028018532,2.40761629572365e-286,2.2377814794713,2.14218701398035,2.33764181987086
"11","AGE3",1.16910527814074,0.0254117236279359,46.0065320738616,0,3.21911114054627,3.06270434894227,3.38350534512675
"12","LOWED",0.163417320619751,0.0251710831239861,6.49226415147893,8.45558294854592e-11,1.17752799387783,1.12084402774487,1.23707861401173
"13","SOMECOLL",0.0225119146029419,0.0186485824879515,1.20716492084513,0.227368636965241,1.02276721995718,0.986058784416041,1.06084221625633
"14","COLLEGE",-0.13704554830278,0.0200795793966116,-6.8251204667119,8.78515633345649e-12,0.871930510272736,0.838281325749465,0.906930396027563
"15","INC1",0.455485777940054,0.0247605044258792,18.3956582671227,1.42321848756195e-75,1.57693923929615,1.50223678781957,1.65535645551678
"16","INC2",0.303380801355067,0.0208549760679877,14.5471661231372,6.08730169835335e-48,1.3544301350828,1.30018303181627,1.41094057215757
"17","INC3",0.137393812853074,0.0250275999448415,5.48969190637045,4.02635441079631e-08,1.14727987312719,1.09235915193367,1.20496185247567
"18","INC4",0.108408810967875,0.0232748215928042,4.65777194190789,3.19650030829095e-06,1.1145032734296,1.06480337813363,1.16652292056254
"19","NODENVST",0.216403359778588,0.0163403692547666,13.243480389249,4.92142468076871e-40,1.24160309075817,1.20246814985417,1.28201169832831
"20","NODIABETE",-0.708713698584051,0.0159399196710992,-44.4615602341477,0,0.492277006992948,0.477134937079616,0.50789961660992
"21","FRMRSMK",0.350379276012761,0.0161640313684435,21.6764783503696,3.42073935374846e-104,1.41960586895447,1.3753356006405,1.46530113975924
"22","SMOKE",0.513510750062252,0.0224578145572551,22.8655708574439,1.02305485655173e-115,1.67114789079438,1.5991838950592,1.74635029875855
"23","NOEXER",0.225717960715183,0.0154989358730444,14.5634489079828,4.79750316239946e-48,1.25322215754797,1.21572431889256,1.29187658070363
"24","UNDWT",0.256367115954387,0.0571026382185697,4.48958443869266,7.13622553885667e-06,1.29222703803333,1.15539923822303,1.4452586279982
"25","OVWT",0.0842878724369183,0.018447775834094,4.56899916797249,4.90058727978914e-06,1.08794203725947,1.04930729960714,1.12799927807558
"26","OBESE",0.207731024039506,0.0191349697818935,10.8560936550875,1.86560005110872e-27,1.23088204733797,1.18557333343768,1.27792231128025
