"","term","estimate","std.error","statistic","p.value","OR","LL","UL"
"1","NOTEETH",0.619455194115846,0.0247149093108329,25.0640286122486,1.2277301984168e-138,1.85791556273826,1.77006093379597,1.95013073977197
"2","FEWTEETH",0.490060724441079,0.0215789573140211,22.7101206656848,3.55864067362198e-114,1.63241534445511,1.5648124367781,1.70293882779919
"3","MOSTTEETH",0.201179161551135,0.0194137555779219,10.3627121884611,3.66421913594718e-25,1.22284383879751,1.17718759619292,1.27027082082842
"4","MALE",0.775845485266198,0.0150343800811234,51.604753975877,0,2.17242810688342,2.10934632372366,2.23739640404132
"5","BLACK",-0.306512096885432,0.0285297290566411,-10.7436034978426,6.35158252654341e-27,0.736009614701522,0.695982776169765,0.778338446698785
"6","HISPANIC",-0.235658421429837,0.0354301050102972,-6.65136107729136,2.90394876939173e-11,0.790050492165587,0.737048613786284,0.846863786860164
"7","ASIAN",-0.347851449453632,0.0774142836602537,-4.49337555043768,7.01029962747746e-06,0.706203775379457,0.606783365461373,0.821914048321002
"8","OTHRACE",0.253830684423119,0.0311338616081543,8.15288150303326,3.55353768490745e-16,1.28895354587786,1.21265032517583,1.3700579704955
"9","AGE1",0.39809417758585,0.0216278890934316,18.4065202048197,1.16469879794653e-75,1.48898425224652,1.42718434672624,1.5534602159306
"10","AGE2",0.805904448432097,0.0222717915192254,36.1849852867213,1.04870765223074e-286,2.23872039057632,2.14309648123826,2.33861099164624
"11","AGE3",1.16883152390972,0.025410473616852,45.9980219784081,0,3.21823001586273,3.06187353706705,3.38257093561113
"12","LOWED",0.154130404555515,0.0239531660087581,6.434656884153,1.23752559801104e-10,1.16664301242276,1.11313704865995,1.22272088605205
"13","COLLEGE",-0.148383040535601,0.0177303056763279,-8.36889353428973,5.81617693772915e-17,0.862100832125751,0.83265620619377,0.89258668730676
"14","INC1",0.453868443518267,0.0247231327155849,18.3580474505223,2.84659626155018e-75,1.5743908625276,1.49991899511868,1.65256030230771
"15","INC2",0.301977901124741,0.0208223974962641,14.5025519361505,1.16728171095446e-47,1.35253133695792,1.29844319175264,1.40887258608821
"16","INC3",0.136802266391379,0.0250228319551121,5.46709767450724,4.57464001755705e-08,1.14660140447032,1.09172336421873,1.20423801836846
"17","INC4",0.108458961593924,0.0232747073661127,4.65994952752175,3.16286930461692e-06,1.11455916786806,1.06485701843348,1.16658116270503
"18","NODENVST",0.215514877916931,0.0163238174571535,13.2024802704767,8.48931235257135e-40,1.24050043884831,1.20143922907401,1.28083160724565
"19","NODIABETE",-0.708831242386546,0.0159395614945487,-44.4699336696912,0,0.492219146282316,0.477079191042754,0.507839563149548
"20","FRMRSMK",0.350711258039977,0.0161617516251149,21.70007720543,2.04818630956068e-104,1.4200772308262,1.37579841060106,1.46578112459804
"21","SMOKE",0.513669156342168,0.0224572662946188,22.8731827642465,8.59316444168819e-116,1.67141263208273,1.59943895464359,1.74662507660898
"22","NOEXER",0.22482850309313,0.0154811726354807,14.5227049905673,8.70078499618182e-48,1.25210796513473,1.21468575408619,1.29068308497063
"23","UNDWT",0.256413954126857,0.0571029772885805,4.49037802058939,7.10968812842202e-06,1.29228756500368,1.15545258839149,1.44532728338769
"24","OVWT",0.0842902367902541,0.0184474955044455,4.56919676548731,4.89596971228456e-06,1.0879446095419,1.04931035708262,1.12800132529148
"25","OBESE",0.207868388527732,0.0191341885373141,10.8637159147022,1.71620470576014e-27,1.23105113843376,1.18573801594504,1.27809590740936
